Round_name,Run_id,Version,Total_timespan,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime,Num_switched,no_options_missed,1_options_missed,2_options_missed,3_options_missed,4+_options_missed,no_options_total,1_options_total,2_options_total,3_options_total,4+_options_total
analyze12,STRBE_DUE-STR,STRBE_REWORK,751,266.6544850498339,672.0,301,300,12,43.416666666666664,52,10,2,0,0,0,250,50,1,0,0
analyze12,str_sumo.rou.xml,N/A,634,236.17607973421926,476.0,301,300,0,0,0,0,0,0,0,0,250,50,1,0,0
analyze12,static2_099.rou.xml,N/A,724,262.67109634551497,690.0,301,299,13,54.53846153846154,0,10,3,0,0,0,249,51,1,0,0
analyze13,STRBE_DUE-STR,STRBE_REWORK,992,322.8973747016706,838.0,419,419,40,102.1,104,33,7,0,0,0,315,101,3,0,0
analyze13,str_sumo.rou.xml,N/A,1137,331.93078758949883,921.0,419,419,55,160.5818181818182,0,38,16,1,0,0,316,100,3,0,0
analyze13,static2_099.rou.xml,N/A,998,327.4128878281623,871.0,419,419,45,98.88888888888889,0,32,12,1,0,0,316,100,3,0,0
analyze14,STRBE_DUE-STR,STRBE_REWORK,1182,353.3893129770992,1102.0,393,392,67,189.62686567164178,87,41,20,1,5,0,306,75,7,5,0
analyze14,str_sumo.rou.xml,N/A,809,283.41984732824426,667.0,393,390,20,101.0,0,12,6,0,2,0,306,75,7,5,0
analyze14,static2_099.rou.xml,N/A,1498,359.7175572519084,1422.0,393,391,71,235.57746478873239,0,45,20,1,5,0,306,75,7,5,0
analyze0,STRBE_DUE-STR,STRBE_REWORK,1310,360.2194616977226,1186.0,483,479,100,295.73,126,50,39,6,5,0,357,115,6,5,0
analyze1,STRBE_DUE-STR,STRBE_REWORK,939,293.013698630137,878.0,438,438,31,107.0,103,17,13,1,0,0,335,99,4,0,0
analyze2,STRBE_DUE-STR,STRBE_REWORK,898,299.8,804.0,380,379,31,124.58064516129032,80,24,6,1,0,0,300,70,10,0,0
analyze3,STRBE_DUE-STR,STRBE_REWORK,623,237.0,571.0,318,316,4,26.75,71,2,1,1,0,0,247,66,4,1,0
analyze4,STRBE_DUE-STR,STRBE_REWORK,910,326.12745098039215,856.0,408,408,55,133.03636363636363,112,44,9,2,0,0,296,98,13,1,0
analyze0,test_vehicle_only_4corners.net.xml:1655243512.203868,STRBE_REWORK,1310,360.2194616977226,1186.0,483,479,100,295.73,126,50,39,6,5,0,357,115,6,5,0
analyze0,test_vehicle_only_4corners.net.xml:1655243616.805086,STRBE_REWORK,1310,360.2194616977226,1186.0,483,479,100,295.73,126,50,39,6,5,0,357,115,6,5,0
analyze0,test_vehicle_only_4corners.net.xml:1655244090.527135,STRBE_REWORK,1310,360.2194616977226,1186.0,483,479,100,295.73,126,50,39,6,5,0,357,115,6,5,0
analyze1,test_vehicle_only_4corners.net.xml:1655312027.187462,STRBE_REWORK,939,293.013698630137,878.0,438,438,31,107.0,103,17,13,1,0,0,335,99,4,0,0
analyze2,test_vehicle_only_4corners.net.xml:1655312161.61077,STRBE_REWORK,898,299.8,804.0,380,379,31,124.58064516129032,80,24,6,1,0,0,300,70,10,0,0
analyze3,test_vehicle_only_4corners.net.xml:1655312188.488826,STRBE_REWORK,623,237.0,571.0,318,316,4,26.75,71,2,1,1,0,0,247,66,4,1,0
analyze4,test_vehicle_only_4corners.net.xml:1655312208.032849,STRBE_REWORK,910,326.12745098039215,856.0,408,408,55,133.03636363636363,112,44,9,2,0,0,296,98,13,1,0
